Which money market instrument is issued by the Debt Management Office (DMO) on behalf of the government for short-term borrowing needs?,Commercial Paper,Treasury Bills,Certificates of Deposit,Repurchase Agreements,Treasury Bills,Cash Deposits and Money Markets
What is a key characteristic of money market securities?,They typically mature in more than 5 years,They have high default risk,They are sold in small denominations,They mature in one year or less from issue date,They mature in one year or less from issue date,Cash Deposits and Money Markets
Which of the following formulas is used to calculate the return of securities quoted on a discount basis?,R = (P - MP)/MP x (365/nrm),R = (P/MP) x (1 + I(nim/365)) - 1(365/nrm),MP = P/(1 + r(nrm/365)),MP = P x (1 + i(nim/365))/(1 + r(nrm/365)),R = (P - MP)/MP x (365/nrm),Cash Deposits and Money Markets
What is a primary reason investors use money markets?,To earn particularly high returns on their funds,As an interim investment with higher return than holding cash,For long-term capital appreciation,To speculate on market movements,As an interim investment with higher return than holding cash,Cash Deposits and Money Markets
Which of the following is a key risk associated with Money Market Funds (MMFs)?,Equity market risk,Commodity price risk,Liquidity risk,Operational risk,Liquidity risk,Cash Deposits and Money Markets
In currency trading what does a direct quote in one country become in another country?,An indirect quote,A cross-rate,A forward rate,A spot rate,An indirect quote,Foreign Exchange and Foreign Exchange Markets
According to Interest Rate Parity (IRP) how is the forward exchange rate calculated?,Forward rate = Spot rate x (1 + base currency short-term rate/1 + quote currency short-term rate),Forward rate = Spot rate x (1 + quote currency short-term rate/1 + base currency short-term rate),Forward rate = Spot rate - (base currency short-term rate - quote currency short-term rate),Forward rate = Spot rate + (quote currency short-term rate - base currency short-term rate),Forward rate = Spot rate x (1 + quote currency short-term rate/1 + base currency short-term rate),Foreign Exchange and Foreign Exchange Markets
What type of foreign exchange risk occurs when exchange rate movements are long-term and usually caused by changes in country or political risk?,Transaction risk,Translation risk,Economic risk,Operational risk,Economic risk,Foreign Exchange and Foreign Exchange Markets
When a country's currency appreciates what happens to the country's exports?,They become more expensive for other countries,They become cheaper for other countries,Their price remains unaffected,They increase in domestic value only,They become more expensive for other countries,Foreign Exchange and Foreign Exchange Markets
Which theory suggests that exchange rates between two currencies will adjust to reflect changes in the price levels of the two countries?,Interest Rate Parity,Law of One Price,Theory of Purchasing Power Parity,Exchange Rate Equilibrium,Theory of Purchasing Power Parity,Foreign Exchange and Foreign Exchange Markets
What type of derivative contract gives the holder the right but not the obligation to buy or sell an asset at a specified price?,Forward contract,Futures contract,Option contract,Swap contract,Option contract,Derivatives
Which of the following derivative contracts is standardized and traded on an organized exchange?,Swap,Forward,Future,Credit Default Swap,Future,Derivatives
In futures trading when a trader who has sold a future holds the underlying asset needed for delivery they are said to be:,Naked,Covered,Long,Hedged,Covered,Derivatives
When a party in an interest rate swap pays fixed and receives floating they are considered to be:,Short in the swap,Long in the swap,Neutral in the swap,Covered in the swap,Long in the swap,Derivatives
What happens during the daily mark-to-market process for futures contracts?,The contract is closed out,The exchange recalculates profits and losses daily,The contract terms are renegotiated,The premium is paid to the holder,The exchange recalculates profits and losses daily,Derivatives
Which type of option gives the holder the right to sell the underlying asset at the exercise price?,Call option,Put option,Straddle option,Swap option,Put option,Derivatives
What is the main difference between OTC derivatives and exchange-traded derivatives?,OTC derivatives have standardized features while ETDs are customized,OTC derivatives are more regulated than ETDs,ETDs have higher counterparty risk than OTC derivatives,OTC derivatives are less regulated and have more counterparty risk,OTC derivatives are less regulated and have more counterparty risk,Derivatives
What is the term for simultaneously holding both a call and a put option on the same underlying asset?,Short selling,Hedging,Straddle,Arbitrage,Straddle,Derivatives
In a Credit Default Swap (CDS) what happens if a credit event occurs?,The contract continues until maturity,The seller makes a predetermined payment to the buyer and the CDS terminates,The buyer doubles the periodic payments,The underlying asset is transferred to the seller,The seller makes a predetermined payment to the buyer and the CDS terminates,Derivatives
Which of the following is NOT a key category of derivatives?,Forwards,Futures,Options,Commodities,Commodities,Derivatives
What is the main purpose of a currency swap?,To exchange interest payments in the same currency,To exchange principal amounts in different currencies,To hedge against interest rate fluctuations only,To exchange dividend payments,To exchange principal amounts in different currencies,Derivatives
When a market participant believes the price of an underlying asset will increase they will:,Sell futures short,Buy futures long,Exercise a put option,Write a call option,Buy futures long,Derivatives
Which of the following is an advantage of futures contracts over forward contracts?,More flexibility in contract terms,Lower transaction costs,No initial margin requirement,No secondary market,Lower transaction costs,Derivatives
What is the main difference between an Exchange-Traded Fund (ETF) and a traditional mutual fund?,ETFs can only be traded once per day,ETFs are not regulated by financial authorities,ETFs can be traded throughout the day on stock exchanges,ETFs always outperform mutual funds,ETFs can be traded throughout the day on stock exchanges,Investment Funds
What is a characteristic of unit trusts that differentiates them from investment trusts?,Unit trusts are close-ended,Unit trusts are traded on stock exchanges,Unit trusts are open-ended with no fixed number of units,Unit trusts cannot invest in bonds,Unit trusts are open-ended with no fixed number of units,Investment Funds
Which investment style focuses on picking shares in companies that are currently undervalued relative to their present and future profits or cash flows?,Growth investing,Value investing,Momentum investing,Contrarian investing,Value investing,Investment Funds
What is a key advantage of passive fund management compared to active management?,Higher potential returns,Lower fees,Greater market outperformance,More frequent trading,Lower fees,Investment Funds
Which of these is a characteristic of REITs (Real Estate Investment Trusts)?,They must distribute at least 50% of income to shareholders,They are exempt from all taxation,They always trade at net asset value,They must distribute at least 90% of income to shareholders annually,They must distribute at least 90% of income to shareholders annually,Investment Funds
In a synthetic ETF what is typically used to replicate the performance of an index?,Physical securities only,Derivatives such as swaps,Direct investments in every index constituent,Only government bonds,Derivatives such as swaps,Investment Funds
What is the primary difference between an OEIC and a unit trust?,OEICs are only available to institutional investors,OEICs adopt a company structure while unit trusts are legally constituted as trusts,OEICs cannot invest in international markets,OEICs are always closed-ended,OEICs adopt a company structure while unit trusts are legally constituted as trusts,Investment Funds
What is the primary advantage of forward contracts over futures contracts?,Lower counterparty risk,Standardized terms,Customization to specific needs,Daily mark-to-market settlements,Customization to specific needs,Derivatives
What is the main purpose of a Credit Default Swap (CDS)?,To exchange different currency cash flows,To protect against credit risk of a third party,To hedge against interest rate fluctuations,To guarantee dividend payments,To protect against credit risk of a third party,Derivatives
In a currency pair quote USD/EUR which currency is the base currency?,Euro,US Dollar,Both currencies,Neither currency,US Dollar,Foreign Exchange and Foreign Exchange Markets
What is the typical settlement period for a spot foreign exchange transaction?,Same day (T+0),One business day (T+1),Two business days (T+2),Five business days (T+5),Two business days (T+2),Foreign Exchange and Foreign Exchange Markets
Which of these is a key participant in money markets?,Small retail investors,Individual day traders,Government treasuries,Commodity producers,Government treasuries,Cash Deposits and Money Markets
What type of fund is most commonly used to access money market instruments by retail investors?,Investment trust,Exchange Traded Fund,Money Market Fund,Hedge Fund,Money Market Fund,Cash Deposits and Money Markets
