What is the primary advantage of forward contracts in foreign exchange?,They have standardized terms making them easy to trade,They are binding even if rates become more favorable,They can be customized to specific amounts and dates,They are exchange-traded with lower counterparty risk,They can be customized to specific amounts and dates,Foreign Exchange
Which of the following is NOT a basic characteristic of money market securities?,They are usually sold in large denominations,They have low default risk,They mature in one year or less from original issue,They typically offer returns higher than long-term investments,They typically offer returns higher than long-term investments,Cash Deposits
What type of derivative instrument gives the holder the right but not the obligation to buy an asset at a predetermined price?,Forward contract,Futures contract,Call option,Swap contract,Call option,Derivatives
In a currency pair quotation of EUR/USD which is the base currency?,Euro,US Dollar,Both currencies,Neither currency,Euro,Foreign Exchange
What is the primary difference between a unit trust and an OEIC?,Unit trusts are open-ended while OEICs are closed-ended,OEICs have a company structure while unit trusts have a trust structure,Unit trusts are more liquid than OEICs,OEICs cannot be sold on secondary markets,OEICs have a company structure while unit trusts have a trust structure,Investment Funds
How do commercial papers typically generate returns for investors?,Through interest payments,Through dividend distributions,By being issued at a discount to par value,Through capital appreciation,By being issued at a discount to par value,Cash Deposits
Which of the following is a key risk of Credit Default Swaps?,Exchange rate risk,Default risk of the reference entity,Inflation risk,Liquidity risk only,Default risk of the reference entity,Derivatives
What is the main purpose of Purchasing Power Parity in exchange rates?,To enable capital mobility,To reflect interest rate differentials,To adjust for price level differences between countries,To maintain fixed exchange rates,To adjust for price level differences between countries,Foreign Exchange
Which investment fund type typically has the highest minimum investment threshold?,Unit Trust,OEIC,Exchange Traded Fund,Hedge Fund,Hedge Fund,Investment Funds
What are Treasury Bills primarily used for?,Long-term government borrowing,Short-term government borrowing,Corporate debt financing,Municipal project funding,Short-term government borrowing,Cash Deposits
In futures trading what is the purpose of the initial margin?,To pay for the full value of the contract,To serve as a good faith deposit,To cover transaction costs,To pay the premium for the contract,To serve as a good faith deposit,Derivatives
Which of the following exchange rate regimes involves central bank intervention to stabilize currency values without fixing them completely?,Floating exchange rate,Fixed exchange rate,Managed float or Dirty float,Currency board,Managed float or Dirty float,Foreign Exchange
What strategy does a "stratified sampling" approach refer to in ETF management?,Active management to outperform the index,Full replication of the index,Buying a representative sample from each sector,Using computer optimization only,Buying a representative sample from each sector,Investment Funds
What is the main difference between spot and forward exchange rates?,Spot rates are for immediate delivery while forward rates are for future delivery,Spot rates are always higher than forward rates,Forward rates are always higher than spot rates,Spot rates apply to retail transactions while forward rates apply to wholesale transactions,Spot rates are for immediate delivery while forward rates are for future delivery,Foreign Exchange
Which of the following is a characteristic of a party going "long" in a futures contract?,They expect the price of the asset to increase,They have sold the underlying asset,They have borrowed the underlying asset,They are the original seller under the contract,They expect the price of the asset to increase,Derivatives
What is the Interest Parity Condition used for in foreign exchange markets?,To predict future currency values,To calculate transaction costs,To determine the theoretical relationship between spot and forward rates,To set central bank interest rates,To determine the theoretical relationship between spot and forward rates,Foreign Exchange
What type of derivative is used when two parties agree to exchange one stream of interest payments for another?,Forward contract,Futures contract,Option contract,Swap contract,Swap contract,Derivatives
Which type of investment fund uses dual pricing?,Unit trusts,OEICs,ETFs,Investment trusts,Unit trusts,Investment Funds
What is the main advantage of Exchange-Traded Derivatives compared to OTC derivatives?,Higher returns,Lower transaction costs,Reduced counterparty risk,More flexibility in contract terms,Reduced counterparty risk,Derivatives
Which of the following best describes value investing as an investment style?,Focusing on companies with strong growth prospects regardless of price,Buying stocks of companies that appear undervalued relative to their intrinsic value,Investing in companies with rising stock prices,Investing in out-of-favor companies,Buying stocks of companies that appear undervalued relative to their intrinsic value,Investment Funds
Which type of option strategy involves holding both call and put options on the same underlying asset?,Straddle,Hedge,Short selling,Arbitrage,Straddle,Derivatives
What is the primary purpose of Money Market Funds?,To provide long-term capital growth,To offer high-risk investment opportunities,To provide income while maintaining liquidity and capital preservation,To hedge against market volatility,To provide income while maintaining liquidity and capital preservation,Cash Deposits
When a currency is said to be depreciated what does this mean?,It has decreased in value relative to other currencies,It has increased in value relative to other currencies,Its exchange rate has become fixed,It has been removed from circulation,It has decreased in value relative to other currencies,Foreign Exchange
Which of the following is a key feature of commercial paper?,It is issued by governments,It is typically unsecured,It has maturities longer than one year,It pays regular interest payments,It is typically unsecured,Cash Deposits
What is meant by "gearing" in the context of investment trusts?,The trust's management fees,The ability to borrow to make additional investments,The allocation between equities and bonds,The frequency of dividend payments,The ability to borrow to make additional investments,Investment Funds
In forex trading what does the bid-ask spread represent?,The difference between a currency's opening and closing prices,The difference between buying and selling prices,The difference between spot and forward rates,The difference between fixed and floating rates,The difference between buying and selling prices,Foreign Exchange
What is a key characteristic of passive fund management?,It attempts to outperform market indices,It requires frequent portfolio adjustments,It aims to track or replicate market index performance,It focuses on selecting undervalued shares,It aims to track or replicate market index performance,Investment Funds
Which type of derivative contract is most standardized in terms of contract size and maturity dates?,Forward contracts,Futures contracts,Option contracts,Swap contracts,Futures contracts,Derivatives
What is the main risk associated with cash deposits?,Market risk,Credit risk,Inflation risk,Currency risk,Inflation risk,Cash Deposits
What does it mean when an investor "covers" their position in futures trading?,They buy offsetting contracts to eliminate their market exposure,They pay for the full value of the contract upfront,They deposit additional margin,They extend the maturity date of the contract,They buy offsetting contracts to eliminate their market exposure,Derivatives
What represents the safest form of money market instrument?,Commercial Paper,Certificates of Deposit,Treasury Bills,Bankers' Acceptances,Treasury Bills,Cash Deposits
Which type of investment fund typically has the lowest management fees?,Actively managed funds,Hedge funds,Private equity funds,Index funds or ETFs,Index funds or ETFs,Investment Funds
How is a currency swap different from an interest rate swap?,A currency swap involves exchanging principal amounts in different currencies,A currency swap only affects interest payments,A currency swap can only be executed through an exchange,A currency swap always results in losses for one party,A currency swap involves exchanging principal amounts in different currencies,Derivatives
What is the key characteristic of a Real Estate Investment Trust?,It invests primarily in fixed income securities,It must distribute a high percentage of income to shareholders,It cannot use gearing,It is always actively managed,It must distribute a high percentage of income to shareholders,Investment Funds
How do certificates of deposit typically work?,They are issued by governments for short-term borrowing,They are sold at a discount to face value with no interest payments,They are issued by banks and pay interest or are issued at a discount,They represent ownership in a company,They are issued by banks and pay interest or are issued at a discount,Cash Deposits
What is translation risk in foreign exchange?,Risk from currency fluctuations affecting reported value of foreign assets,Risk from currency fluctuations between transaction agreement and payment,Risk from long-term movements in exchange rates,Risk from currency conversion fees,Risk from currency fluctuations affecting reported value of foreign assets,Foreign Exchange
