A £100000 Treasury bill is due in 90 days with a rate of interest on comparable securities at 4% per annum. What is the current market price of this Treasury bill?,£98765.43,£99027.78,£96000.00,£97554.74,£99027.78,Cash Deposits
Using the formula for securities quoted on a discount basis a £50000 Treasury bill with 60 days remaining until maturity is currently priced at £49500. What is the annualized rate of return?,3.04%,5.05%,6.08%,10.10%,6.08%,Cash Deposits
A Certificate of Deposit with a face value of £200000 was issued for 180 days at an annualized rate of 3%. If there are 90 days remaining until maturity and the current market price is £198500 what is the rate of return for an investor buying at this price?,3.00%,4.05%,5.06%,6.08%,4.05%,Cash Deposits
A trader buys a forward contract to purchase 10000 USD in 3 months. If the spot rate is 1.25 USD/GBP the 3-month USD interest rate is 4% and the 3-month GBP interest rate is 5% what is the forward rate according to Interest Parity Condition?,1.2469 USD/GBP,1.2531 USD/GBP,1.2625 USD/GBP,1.2375 USD/GBP,1.2469 USD/GBP,Foreign Exchange
The USD/EUR exchange rate moved from 0.85 to 0.90 over a one-month period. What is the percentage appreciation of the USD against the EUR?,5.88%,5.56%,6.25%,5.00%,5.88%,Foreign Exchange
A company needs to calculate the market price of a £75000 Treasury bill with 45 days remaining until maturity and a required rate of return of 3.5%. Using the discount basis formula what is the market price?,£73875.00,£74218.75,£74878.05,£74318.09,£74318.09,Cash Deposits
An investor purchased a 120-day Certificate of Deposit with a face value of £50000 at an annualized rate of 4%. The CD was issued 30 days ago and is now being sold in the secondary market. If current interest rates for similar instruments are at 3.5% what is the market price using the quoted at par formula?,£50062.50,£50125.69,£49875.23,£50168.42,£50125.69,Cash Deposits
A 6-month zero-coupon bond with a face value of £100000 is currently trading at £98500. What is the yield to maturity on an annualized basis?,3.04%,4.04%,3.05%,3.08%,3.05%,Cash Deposits
The exchange rate for GBP/JPY moved from 155.00 to 145.00 over a period of two months. What is the percentage depreciation of the GBP against the JPY?,6.45%,6.90%,7.25%,5.55%,6.45%,Foreign Exchange
A futures contract has an initial margin requirement of £5000 and a maintenance margin of £4000. If the contract value falls by £1200 on day one how much additional margin must be deposited to continue holding the position?,£0,£200,£1000,£1200,£0,Derivatives
A futures contract has an initial margin requirement of £5000 and a maintenance margin of £4000. If the contract value falls by £1500 on day one how much additional margin must be deposited to continue holding the position?,£0,£500,£1000,£1500,£500,Derivatives
An investor buys a call option on a stock with a strike price of £50. The option premium is £3 per share for 100 shares. If the stock price at expiration is £56 what is the net profit on this investment?,£600,£300,£200,£500,£300,Derivatives
An investor writes (sells) a put option on a stock with a strike price of £40. The option premium received is £2 per share for 100 shares. If the stock price at expiration is £37 what is the net result for the option writer?,£100 profit,£100 loss,£300 loss,£200 profit,£100 loss,Derivatives
