A £100000 Treasury bill is due in 90 days with a rate of interest on comparable securities at 4% per annum. What is the current market price of this Treasury bill?,£98523.33,£99023.33,£96023.33,£97523.33,£99023.33,Cash Deposits
Using the formula for securities quoted on a discount basis a £50000 Treasury bill with 60 days remaining until maturity is currently priced at £49500. What is the annualized rate of return?,3.04%,5.05%,6.14%,10.10%,6.14%,Cash Deposits
A Certificate of Deposit with a face value of £200000 was issued for 180 days at an annualized rate of 3%. If there are 90 days remaining until maturity and the current market price is £198500 what is the rate of return for an investor buying at this price?,3.00%,6.09%,5.06%,6.08%,6.09%,Cash Deposits
The USD/EUR exchange rate moved from 0.85 to 0.90 over a one-month period. What is the percentage appreciation of the USD against the EUR?,5.88%,5.56%,6.25%,5.00%,5.88%,Foreign Exchange
A company needs to calculate the market price of a £75000 Treasury bill with 45 days remaining until maturity and a required rate of return of 3.5%. Using the discount basis formula what is the market price?,£73875.00,£74677.76,£74878.05,£74318.09,£74677.76,Cash Deposits
An investor purchased a 120-day Certificate of Deposit with a face value of £50000 at an annualized rate of 4%. The CD was issued 30 days ago and is now being sold in the secondary market. If current interest rates for similar instruments are at 3.5% what is the market price using the quoted at par formula?,£50062.50,£49569.39,£49875.23,£50168.42,£49569.39,Cash Deposits
A 6-month zero-coupon bond with a face value of £100000 is currently trading at £98500. What is the yield to maturity on an annualized basis?,3.04%,3.05%,3.12%,3.08%,3.05%,Cash Deposits
The exchange rate for GBP/JPY moved from 155.00 to 145.00 over a period of two months. What is the percentage depreciation of the GBP against the JPY?,6.45%,6.90%,7.25%,5.55%,6.45%,Foreign Exchange
A futures contract has an initial margin requirement of £5000 and a maintenance margin of £4000. If the contract value falls by £1200 on day one how much additional margin must be deposited to continue holding the position?,£0,£200,£1200,£1000,£1200,Derivatives
A futures contract has an initial margin requirement of £5000 and a maintenance margin of £4000. If the contract value falls by £1500 on day one how much additional margin must be deposited to continue holding the position?,£0,£500,£1500,£1000,£1500,Derivatives
An investor buys a call option on a stock with a strike price of £50. The option premium is £3 per share for 100 shares. If the stock price at expiration is £56 what is the net profit on this investment?,£600,£300,£200,£500,£300,Derivatives
An investor writes (sells) a put option on a stock with a strike price of £40. The option premium received is £2 per share for 100 shares. If the stock price at expiration is £37 what is the net result for the option writer?,£100 profit,£100 loss,£300 loss,£200 profit,£100 loss,Derivatives
A company has a 3-year floating rate loan of £10 million indexed to LIBOR. It enters into an interest rate swap to effectively convert this to a fixed rate loan. If the fixed rate in the swap is 4% and the notional value is £10 million what is the annual fixed payment the company will make?,£400000,£300000,£500000,£450000,£400000,Derivatives
An ETF uses stratified sampling to track the FTSE 100 index. If the fund holds 65 stocks that represent 85% of the index's market capitalization what is the tracking error likely to be compared to a fund using full replication?,Lower,Higher,The same,Impossible to determine without performance data,Higher,Investment Funds
A money market fund with £100 million in assets charges a management fee of 0.25% per annum. If the gross yield on the fund's investments is 3.75% what is the net yield to investors?,3.50%,3.25%,3.00%,3.55%,3.50%,Cash Deposits
An investor buys 1000 shares of an ETF at £25 per share. The ETF tracks an index that currently stands at 5000 points. If the index rises to 5250 points and assuming perfect tracking what would be the expected value of the investment?,£26250,£25500,£25250,£26500,£26250,Investment Funds
A £50000 Certificate of Deposit was issued 90 days ago for a 180-day term at an annualized rate of 3.6%. If it is sold today in the secondary market at a rate of 4.2% what is the market price?,£50316.07,£50441.07,£50366.07,£50516.07,£50366.07,Cash Deposits
If a £75000 Treasury bill has 120 days until maturity and the required yield is 3.75% what is its current market price using the discount basis formula?,£72031.25,£73078.13,£74086.60,£71875.00,£74086.60,Cash Deposits
A futures contract has an initial margin requirement of £8000 and a maintenance margin of £6500. After three days of trading the margin account balance is £6200. How much additional margin must be deposited to continue holding the position?,£1800,£300,£1500,£1000,£1800,Derivatives
Using the formula for calculating the return of securities quoted at par a 90-day Certificate of Deposit with face value £100000 was issued at 3.8%. If there are 60 days remaining and the current market price is £99600 what is the annualized return for a buyer at this price?,3.8%,4.25%,6.26%,4.05%,6.26%,Cash Deposits
A credit default swap provides protection on a £10 million corporate bond. If the annual premium is 250 basis points (2.5%) paid quarterly how much is each quarterly payment?,£62500,£25000,£250000,£50000,£62500,Derivatives
An investment trust with net asset value (NAV) of £8.50 per share is trading at £7.65. What is the discount to NAV expressed as a percentage?,10%,10.00%,10.29%,9.76%,10.00%,Investment Funds
A trader takes a short position in a currency futures contract worth 100000 EUR at 1.15 USD/EUR. If the EUR depreciates to 1.12 USD/EUR at contract expiration what is the profit in USD?,£3000,£2800,£3200,£3500,£3000,Derivatives
